0.344,0.244,0.217,0.423,0.44,0.761,0.21,0.57,0.793,0.231,0.293,0.477,1348,156
0.692,0.863,0.782,0.4,0.829,0.406,0.162,0.639,0.829,0.149,0.252,0.342,1283,157
0.379,0.894,0.285,0.419,0.447,0.73,0.3,0.737,0.508,0.539,0.501,0.199,1280,159
0.619,0.228,0.313,0.268,0.529,0.178,0.721,0.182,0.21,0.67,0.687,0.488,1279,165
0.655,0.646,0.171,0.26,0.513,0.789,0.767,0.628,0.318,0.708,0.315,0.23,1270,169
0.805,0.679,0.282,0.838,0.205,0.555,0.243,0.828,0.656,0.391,0.67,0.213,1269,170
0.457,0.309,0.269,0.571,0.641,0.531,0.253,0.531,0.283,0.575,0.346,0.742,1233,171
0.736,0.175,0.669,0.56,0.63,0.254,0.311,0.603,0.34,0.174,0.196,0.242,1218,173
0.825,0.247,0.315,0.216,0.336,0.692,0.626,0.246,0.758,0.888,0.768,0.307,1217,173
0.469,0.678,0.674,0.648,0.833,0.152,0.624,0.55,0.604,0.301,0.392,0.461,1196,176
0.922,0.776,0.092,0.408,0.396,0.841,0.892,0.437,0.815,0.918,0.241,0.542,1195,177
0.753,0.856,0.629,0.676,0.241,0.151,0.538,0.248,0.83,0.475,0.238,0.754,1190,177
0.596,0.359,0.419,0.373,0.462,0.598,0.659,0.578,0.313,0.473,0.274,0.417,1186,179
0.245,0.76,0.367,0.404,0.827,0.335,0.227,0.396,0.735,0.684,0.706,0.49,1184,180
0.72,0.409,0.396,0.933,0.581,0.227,0.823,0.416,0.675,0.333,0.314,0.224,1181,182
0.325,0.545,0.654,0.312,0.342,0.839,0.207,0.281,0.46,0.759,0.363,0.522,1174,182
0.025,0.471,0.246,0.267,0.377,0.733,0.781,0.538,0.885,0.565,0.148,0.448,1167,184
0.077,0.921,0.271,0.825,0.253,0.257,0.279,0.475,0.601,0.448,0.637,0.564,1162,184
0.726,0.296,0.616,0.383,0.833,0.381,0.387,0.578,0.535,0.768,0.332,0.602,1157,187
0.419,0.815,0.199,0.618,0.711,0.301,0.287,0.513,0.536,0.853,0.714,0.482,1146,188
0.441,0.71,0.214,0.8,0.681,0.294,0.449,0.462,0.615,0.867,0.249,0.533,1127,192
0.696,0.477,0.747,0.717,0.722,0.525,0.753,0.348,0.71,0.991,0.211,0.34,1121,194
0.23,0.305,0.704,0.402,0.506,0.302,0.239,0.212,0.499,0.653,0.267,0.254,1120,195
0.266,0.773,0.768,0.715,0.669,0.325,0.244,0.317,0.542,0.793,0.883,0.315,1118,197
0.415,0.358,0.222,0.538,0.529,0.589,0.337,0.633,0.765,0.334,0.198,0.588,1108,202
