0.672,0.671,0.766,0.683,0.714,0.18,0.316,0.403,0.764,0.662,0.668,0.707,0.189,419.0,50.0
0.302,0.379,0.486,0.807,0.253,0.758,0.96,0.747,0.742,0.783,0.804,0.542,0.137,417.0,50.0
0.363,0.346,0.155,0.739,0.691,0.275,0.118,0.551,0.361,0.866,0.518,0.187,0.538,414.0,50.0
0.279,0.594,0.59,0.58,0.331,0.191,0.475,0.803,0.624,0.451,0.38,0.674,0.314,407.0,50.0
0.279,0.192,0.646,0.72,0.128,0.118,0.659,0.663,0.792,0.445,0.646,0.383,0.231,406.0,50.0
0.884,0.943,0.722,0.568,0.188,0.131,0.854,0.756,0.572,0.685,0.672,0.226,0.151,401.0,50.0
0.669,0.281,0.41,0.816,0.055,0.201,0.64,0.569,0.526,0.689,0.747,0.704,0.309,397.0,50.0
0.634,0.14,0.901,0.605,0.15,0.181,0.17,0.626,0.821,0.621,0.435,0.684,0.511,393.0,50.0
0.699,0.356,0.576,0.887,0.346,0.41,0.27,0.891,0.871,0.698,0.512,0.204,0.304,390.0,50.0
0.791,0.858,0.698,0.679,0.382,0.223,0.788,0.861,0.365,0.623,0.796,0.166,0.168,386.0,50.0
0.325,0.756,0.209,0.822,0.564,0.23,0.184,0.708,0.349,0.867,0.766,0.726,0.272,386.0,50.0
0.625,0.662,0.655,0.949,0.692,0.738,0.315,0.274,0.756,0.633,0.313,0.779,0.225,384.0,50.0
0.607,0.293,0.36,0.715,0.238,0.326,0.223,0.799,0.259,0.688,0.978,0.67,0.218,382.0,50.0
0.092,0.237,0.468,0.418,0.596,0.669,0.34,0.718,0.54,0.633,0.851,0.292,0.753,381.0,50.0
0.608,0.669,0.737,0.563,0.517,0.189,0.253,0.315,0.747,0.591,0.964,0.332,0.38,378.0,50.0
0.092,0.222,0.723,0.453,0.948,0.576,0.216,0.282,0.593,0.584,0.79,0.233,0.687,376.0,50.0
0.86,0.825,0.457,0.975,0.213,0.586,0.532,0.703,0.724,0.218,0.502,0.774,0.681,374.0,50.0
0.169,0.406,0.831,0.0,0.485,0.68,0.834,0.251,0.506,0.378,0.903,0.146,0.217,367.0,50.0
0.203,0.292,0.855,0.259,0.071,0.323,0.347,0.827,0.456,0.612,0.469,0.73,0.693,367.0,50.0
0.151,0.625,0.422,0.788,0.184,0.213,0.534,0.226,0.579,0.819,0.817,0.268,0.61,356.0,50.0
0.196,0.011,0.478,0.74,0.581,0.214,0.324,0.355,0.564,0.602,0.414,0.382,0.328,348.0,50.0
0.171,0.619,0.458,0.911,0.288,0.66,0.63,0.665,0.945,0.507,0.211,0.773,0.27,345.0,50.0
0.309,0.832,0.58,0.099,0.507,0.239,0.354,0.778,0.524,0.647,0.387,0.792,0.712,343.0,50.0
0.137,0.305,0.257,0.798,0.656,0.344,0.578,0.803,0.435,0.845,0.759,0.195,0.532,340.0,50.0
0.244,0.242,0.456,0.381,0.318,0.792,0.226,0.584,0.47,0.306,0.848,0.586,0.702,330.0,50.0
0.209,0.225,0.368,0.661,0.567,0.721,0.668,0.293,0.354,0.372,0.805,0.31,0.178,329.0,50.0
0.829,0.651,0.591,0.566,0.346,0.288,0.677,0.825,0.61,0.345,0.29,0.77,0.314,322.0,50.0
0.197,0.5,0.517,0.374,0.693,0.951,0.219,0.204,0.662,0.144,0.826,0.775,0.804,315.0,50.0
0.146,0.212,0.662,0.185,0.318,0.724,0.14,0.182,0.509,0.52,0.753,0.744,0.791,313.0,50.0
0.331,0.606,0.55,0.659,0.221,0.256,0.697,0.812,0.348,0.52,0.184,0.343,0.233,313.0,50.0
0.365,0.405,0.584,0.42,0.114,0.205,0.464,0.807,0.895,0.167,0.526,0.717,0.748,307.0,50.0
0.729,0.605,0.759,0.681,0.195,0.681,0.454,0.54,0.372,0.819,0.37,0.807,0.284,307.0,50.0
0.843,0.331,0.693,0.758,0.192,0.824,0.655,0.31,0.834,0.719,0.544,0.876,0.761,303.0,50.0
0.468,0.731,0.356,0.721,0.717,0.139,0.442,0.713,0.15,0.813,0.694,0.775,0.231,302.0,50.0
0.645,0.817,0.398,0.664,0.324,0.294,0.938,0.239,0.598,0.751,0.857,0.74,0.251,301.0,50.0
0.912,0.344,0.736,0.837,0.413,0.126,0.249,0.25,0.461,0.745,0.875,0.579,0.537,301.0,50.0
0.443,0.758,0.5,0.833,0.218,0.733,0.552,0.527,0.343,0.704,0.438,0.712,0.244,300.0,50.0
0.791,0.534,0.548,0.741,0.485,0.116,0.705,0.145,0.722,0.723,0.603,0.629,0.161,298.0,50.0
0.225,0.697,0.648,0.428,0.915,0.365,0.536,0.216,0.25,0.773,0.759,0.346,0.802,297.0,50.0
0.291,0.33,0.854,0.777,0.676,0.759,0.656,0.717,0.601,0.675,0.746,0.706,0.131,295.0,50.0
0.763,0.313,0.427,0.734,0.586,0.339,0.369,0.79,0.441,0.646,0.2,0.815,0.192,294.0,50.0
0.231,0.285,0.392,0.418,0.798,0.943,0.15,0.763,0.79,0.815,0.817,0.737,0.22,294.0,50.0
0.253,0.747,0.782,0.387,0.328,0.128,0.528,0.769,0.554,0.376,0.836,0.226,0.833,291.0,50.0
0.249,0.816,0.181,0.626,0.753,0.27,0.437,0.283,0.433,0.269,0.826,0.699,0.682,279.0,50.0
0.211,0.684,0.612,0.214,0.744,0.654,0.796,0.202,0.386,0.842,0.72,0.364,0.577,277.0,50.0
0.207,0.534,0.535,0.428,0.537,0.75,0.302,0.199,0.68,0.519,0.803,0.712,0.377,272.0,50.0
0.255,0.724,0.819,0.194,0.244,0.731,0.188,0.554,0.799,0.211,0.615,0.283,0.264,271.0,50.0
0.359,0.619,0.431,0.622,0.613,0.37,0.381,0.647,0.704,0.791,0.44,0.953,0.921,269.0,50.0
0.803,0.849,0.543,0.346,0.604,0.811,0.439,0.79,0.868,0.732,0.602,0.789,0.685,262.0,50.0
0.626,0.844,0.586,0.498,0.792,0.713,0.171,0.721,0.555,0.764,0.411,0.655,0.699,262.0,50.0
0.133,0.369,0.38,0.438,0.648,0.391,0.3,0.733,0.668,0.41,0.644,0.187,0.759,260.0,50.0
0.18,0.25,0.849,0.31,0.387,0.283,0.209,0.274,0.595,0.139,0.743,0.372,0.42,255.0,50.0
0.773,0.286,0.107,0.749,0.257,0.075,0.743,0.834,0.703,0.731,0.777,0.22,0.147,254.0,50.0
0.445,0.345,0.515,0.83,0.208,0.74,0.844,0.647,0.775,0.501,0.097,0.732,0.295,253.0,50.0
0.153,0.313,0.627,0.479,0.366,0.54,0.228,0.669,0.317,0.529,0.619,0.897,0.217,251.0,50.0
0.19,0.329,0.0,0.905,0.08,0.334,0.757,0.554,0.251,0.816,0.726,0.879,0.215,246.0,50.0
0.703,0.78,0.615,0.738,0.274,0.247,0.564,0.314,0.378,0.35,0.417,0.707,0.265,244.0,50.0
0.812,0.245,0.391,0.648,0.232,0.222,0.32,0.266,0.566,0.733,0.745,0.84,0.236,241.0,50.0
0.637,0.402,0.219,0.745,0.709,0.343,0.156,0.706,0.405,0.784,0.778,0.706,0.307,241.0,50.0
0.751,0.808,0.77,0.468,1.0,0.482,0.332,0.719,0.784,0.744,0.649,0.265,0.694,241.0,50.0
0.51,0.731,0.762,0.458,0.589,0.282,0.096,0.767,0.809,0.313,0.51,0.249,0.754,231.0,50.0
0.684,0.409,0.235,0.517,0.189,0.845,0.286,0.805,0.482,0.238,0.173,0.469,0.306,228.0,50.0
0.371,0.711,0.505,0.815,0.246,0.206,0.677,0.219,0.708,0.442,0.405,0.232,0.214,228.0,50.0
0.146,0.776,0.445,0.597,0.728,0.625,0.115,0.934,0.293,0.121,0.712,0.555,0.797,219.0,50.0
0.086,0.308,0.731,0.886,0.434,0.259,0.63,0.666,0.41,0.763,0.629,0.239,0.287,218.0,50.0
0.285,0.501,0.519,0.409,0.746,0.685,0.462,0.904,0.314,0.55,0.775,0.199,0.156,217.0,50.0
0.631,0.691,0.227,0.827,0.198,0.252,0.736,0.848,0.519,0.523,0.6,0.272,0.3,217.0,50.0
0.743,0.556,0.318,0.894,0.281,0.234,0.462,0.693,0.632,0.26,0.537,0.185,0.275,216.0,50.0
0.25,0.794,0.575,0.55,0.536,0.181,0.69,0.604,0.287,0.67,0.765,0.705,0.238,216.0,50.0
0.335,0.81,0.286,0.624,0.487,0.261,0.76,0.905,0.517,0.714,0.256,0.769,0.663,213.0,50.0
0.454,0.675,0.444,0.366,0.219,0.212,0.833,0.66,0.618,0.562,0.26,0.739,0.275,205.0,50.0
0.883,0.905,0.564,0.431,0.475,0.218,0.278,0.445,0.516,0.388,0.224,0.341,0.256,202.0,50.0
0.442,0.523,0.634,0.187,0.294,0.756,0.553,0.303,0.277,0.621,0.842,0.255,0.398,202.0,50.0
